analyte,abbreviation,target_label_in_reference_file,sample_id,status,screening_basis,exclusion_reason
Ethyl acetate,EA,Ethyl acetate,S1,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S2,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S3,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S4,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S5,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S6,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S7,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S8,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S9,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S10,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl acetate,EA,Ethyl acetate,S11,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S12,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S13,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S14,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl acetate,EA,Ethyl acetate,S15,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S16,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S17,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S18,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S19,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S20,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S21,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S22,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S23,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S24,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S25,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S26,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl acetate,EA,Ethyl acetate,S27,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S28,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S29,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S30,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl acetate,EA,Ethyl acetate,S31,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S32,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S33,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S34,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S35,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S36,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S37,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl acetate,EA,Ethyl acetate,S38,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S39,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S40,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S41,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S42,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S43,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S44,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S45,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S46,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S47,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S48,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S49,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S50,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S51,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
