analyte,abbreviation,target_label_in_reference_file,sample_id,status,screening_basis,exclusion_reason
Ethyl acetate,EA,Ethyl acetate,S52,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S53,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl acetate,EA,Ethyl acetate,S54,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl acetate,EA,Ethyl acetate,S55,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S56,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S57,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S58,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S59,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S60,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S61,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S62,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S63,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S64,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S65,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S66,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S67,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S68,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S69,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S70,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S71,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S72,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S73,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S74,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S75,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S76,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S77,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S78,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S79,included,Archived analyte-specific response-informed MCCV screen,
Ethyl acetate,EA,Ethyl acetate,S80,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S1,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S2,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S3,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S4,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S5,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S6,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S7,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S8,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S9,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S10,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S11,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S12,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S13,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S14,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S15,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S16,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S17,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S18,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S19,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S20,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S21,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S22,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S23,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S24,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S25,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S26,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S27,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S28,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S29,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S30,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S31,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S32,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S33,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S34,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S35,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S36,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S37,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S38,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S39,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S40,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S41,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S42,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S43,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S44,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S45,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S46,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S47,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S48,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S49,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S50,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S51,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S52,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S53,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S54,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl butyrate,EB,Ethyl butyrate,S55,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S56,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S57,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S58,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S59,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S60,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S61,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S62,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S63,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S64,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S65,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S66,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S67,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S68,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S69,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S70,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S71,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S72,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S73,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S74,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S75,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S76,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S77,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S78,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S79,included,Archived analyte-specific response-informed MCCV screen,
Ethyl butyrate,EB,Ethyl butyrate,S80,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S1,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S2,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S3,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S4,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S5,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S6,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S7,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S8,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S9,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S10,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S11,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S12,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S13,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S14,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S15,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S16,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S17,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S18,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S19,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S20,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S21,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S22,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S23,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S24,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S25,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S26,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S27,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S28,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S29,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S30,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S31,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S32,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S33,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S34,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S35,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S36,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S37,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S38,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S39,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S40,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S41,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S42,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S43,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S44,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S45,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S46,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S47,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S48,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S49,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S50,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S51,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S52,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S53,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl hexanoate,EH,Ethyl hexanoate,S54,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S55,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S56,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S57,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S58,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S59,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S60,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S61,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S62,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S63,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S64,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S65,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S66,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S67,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S68,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S69,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S70,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S71,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S72,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S73,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S74,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S75,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S76,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S77,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S78,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S79,included,Archived analyte-specific response-informed MCCV screen,
Ethyl hexanoate,EH,Ethyl hexanoate,S80,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S1,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S2,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S3,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S4,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S5,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S6,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl lactate,EL,Ethyl lactate,S7,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl lactate,EL,Ethyl lactate,S8,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S9,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S10,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S11,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S12,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S13,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S14,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S15,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S16,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S17,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S18,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S19,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S20,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S21,excluded,Archived analyte-specific response-informed MCCV screen,Mean absolute MCCV prediction error above median + 3 MAD
Ethyl lactate,EL,Ethyl lactate,S22,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S23,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S24,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S25,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S26,included,Archived analyte-specific response-informed MCCV screen,
Ethyl lactate,EL,Ethyl lactate,S27,included,Archived analyte-specific response-informed MCCV screen,
