analyte,abbreviation,target_label_in_reference_file,original_n,retained_n,excluded_n,excluded_sample_ids,successful_MCCV_submodels,MCCV_submodels_requested,temporary_calibration_fraction,threshold_rule,PLSR_max_components,random_state,historical_max_outlier_ratio_guard,filter_applied
Ethyl acetate,EA,乙酸乙酯,80,72,8,"S10,S14,S26,S30,S37,S51,S53,S54",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
Ethyl butyrate,EB,丁酸乙酯,80,66,14,"S10,S13,S14,S18,S21,S24,S26,S28,S34,S37,S40,S49,S53,S54",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
Ethyl hexanoate,EH,己酸乙酯,80,71,9,"S9,S10,S18,S19,S21,S24,S49,S50,S53",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
Ethyl lactate,EL,乳酸乙酯,80,69,11,"S6,S7,S21,S31,S38,S40,S41,S49,S53,S57,S59",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
Ethyl valerate,EV,戊酸乙酯,80,74,6,"S18,S49,S63,S72,S73,S74",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
Ethyl heptanoate,EHp,庚酸乙酯,80,74,6,"S4,S18,S25,S38,S50,S59",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
Ethyl octanoate,EO,辛酸乙酯,80,74,6,"S10,S13,S18,S21,S25,S38",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
Hexyl hexanoate,HH,己酸己酯,80,76,4,"S25,S38,S55,S72",100,100,0.78,mean absolute prediction error > median + 3*MAD,12,2026,0.18,True
